ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000037541	Shank2	GO:0098919	structural constituent of postsynaptic density	structural_constituent_of_postsynaptic_density
ENSMUSG00000022623	Shank3	GO:0098919	structural constituent of postsynaptic density	structural_constituent_of_postsynaptic_density
ENSMUSG00000038738	Shank1	GO:0098919	structural constituent of postsynaptic density	structural_constituent_of_postsynaptic_density
ENSMUSG00000003279	Dlgap1	GO:0098919	structural constituent of postsynaptic density	structural_constituent_of_postsynaptic_density
ENSMUSG00000022770	Dlg1	GO:0098919	structural constituent of postsynaptic density	structural_constituent_of_postsynaptic_density
ENSMUSG00000052572	Dlg2	GO:0098919	structural constituent of postsynaptic density	structural_constituent_of_postsynaptic_density
ENSMUSG00000000881	Dlg3	GO:0098919	structural constituent of postsynaptic density	structural_constituent_of_postsynaptic_density
ENSMUSG00000017314	Mpp2	GO:0098919	structural constituent of postsynaptic density	structural_constituent_of_postsynaptic_density
ENSMUSG00000040003	Magi2	GO:0098919	structural constituent of postsynaptic density	structural_constituent_of_postsynaptic_density
ENSMUSG00000020886	Dlg4	GO:0098919	structural constituent of postsynaptic density	structural_constituent_of_postsynaptic_density
